motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
380,0.03125,-0.953125,0.046875,0,0,0,0,0,0
381,0.03125,-0.9375,0,0,0,0,0,0,0
382,0.03125,-0.953125,0,3.90625,0,1.953125,0,0,0
383,0,-0.96875,0.046875,-1.953125,0,0,0,0,0
384,0.015625,-0.96875,0.03125,-1.953125,0,0,0,0,0
385,0.015625,-0.953125,0,1.953125,0,0,0,0,0
386,0.03125,-0.984375,0.015625,0,0,0,0,0,0
387,0.03125,-0.984375,0.015625,-1.953125,0,0,0,0,0
388,0.015625,-0.953125,0.015625,1.953125,0,1.953125,0,0,0
389,0.015625,-0.96875,0.03125,-1.953125,0,0,0,0,0
390,0.03125,-0.96875,0,3.90625,0,1.953125,0,0,0
391,0,-0.96875,0.046875,3.90625,0,0,0,0,0
392,0,-0.9375,0.0625,-3.90625,-1.953125,-1.953125,0,0,0
393,0.046875,-0.953125,0,0,0,0,0,0,0
394,0.03125,-0.9375,0.015625,3.90625,0,1.953125,0,0,0
395,0.015625,-0.953125,0,5.859375,0,1.953125,0,0,0
396,0.015625,-0.96875,0.03125,1.953125,0,0,0,0,0
397,0.015625,-0.953125,0.03125,-5.859375,0,-1.953125,0,0,0
398,0.015625,-0.96875,0.015625,0,0,0,0,0,0
399,0.015625,-0.953125,0.03125,1.953125,0,1.953125,0,0,0
400,0.03125,-0.984375,0.03125,0,0,0,0,0,0
401,0.03125,-0.96875,0,-1.953125,0,0,0,0,0
402,0.03125,-0.96875,0,0,0,0,0,0,0
403,0.03125,-0.953125,0,1.953125,0,0,0,0,0
404,0.015625,-0.96875,0.046875,-1.953125,0,0,0,0,0
405,0.015625,-0.953125,0,0,0,0,0,0,0
406,0.015625,-0.953125,0.03125,0,0,0,0,0,0
407,0.03125,-0.953125,0.03125,0,0,0,0,0,0
408,0.03125,-0.953125,0,0,0,0,0,0,0
409,0.03125,-0.921875,0.015625,0,0,0,0,0,0
410,0.015625,-0.984375,0.015625,1.953125,0,0,0,0,0
411,0,-0.953125,0.046875,-1.953125,0,0,0,0,0
412,0.015625,-0.9375,0.015625,0,0,0,0,0,0
413,0.015625,-0.953125,0,0,0,0,0,0,0
414,0.015625,-0.953125,0.03125,0,0,0,0,0,0
415,0.03125,-0.953125,0.015625,0,0,0,0,0,0
416,0.03125,-0.953125,0,1.953125,0,0,0,0,0
417,0.03125,-0.953125,0,1.953125,0,0,0,0,0
418,0.015625,-0.96875,0.03125,-1.953125,0,0,0,0,0
419,0.03125,-0.953125,0,0,0,0,0,0,0
420,0.015625,-0.953125,0.03125,0,0,0,0,0,0
421,0.015625,-0.984375,0.03125,0,0,0,0,0,0
422,0.03125,-0.96875,0,0,0,-1.953125,0,0,0
423,0.03125,-0.9375,0,1.953125,0,0,0,0,0
424,0,-0.953125,0.0625,0,0,0,0,0,0
425,0.015625,-0.953125,0,-3.90625,0,-1.953125,0,0,0
426,0.03125,-0.953125,0,0,0,0,0,0,0
427,0.015625,-0.953125,0.046875,0,0,0,0,0,0
428,0.03125,-0.96875,0,-1.953125,0,0,0,0,0
429,0.03125,-0.953125,0,0,0,0,0,0,0
430,0.03125,-0.953125,0.015625,1.953125,0,0,0,0,0
431,0.015625,-0.953125,0.015625,0,-1.953125,0,0,0,0
